04.02.2025 13:01:32 : Début de la constitution de l'index : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\pdf_500.pdx
04.02.2025 13:01:32 : Recherche en cours : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\
04.02.2025 13:01:40 : Indexation de 449 fichier(s)
04.02.2025 13:01:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_ELM_corrige.pdf
04.02.2025 13:01:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_ELM_donnee.pdf
04.02.2025 13:01:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_IEL_corrige.pdf
04.02.2025 13:01:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_IEL_donnee.pdf
04.02.2025 13:01:41 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_PELE_corrige.pdf
04.02.2025 13:01:41 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_PELE_donnee.pdf
04.02.2025 13:01:41 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_TLM_corrige.pdf
04.02.2025 13:01:41 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_TLM_donnee.pdf
04.02.2025 13:01:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTno_ELM_corrige.pdf
04.02.2025 13:01:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTno_ELM_donnee.pdf
04.02.2025 13:01:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTno_IEL_corrige.pdf
04.02.2025 13:01:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTno_IEL_donnee.pdf
04.02.2025 13:01:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTpl_ELM_corrige.pdf
04.02.2025 13:01:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTpl_ELM_donnee.pdf
04.02.2025 13:01:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTpl_IEL_corrige.pdf
04.02.2025 13:01:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTpl_IEL_donnee.pdf
04.02.2025 13:01:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTsc_ELM_corrige.pdf
04.02.2025 13:01:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTsc_ELM_donnee.pdf
04.02.2025 13:01:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTsc_IEL_corrige.pdf
04.02.2025 13:01:44 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTsc_IEL_donnee.pdf
04.02.2025 13:01:44 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DT_PELE_corrige.pdf
04.02.2025 13:01:44 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DT_PELE_donnee.pdf
04.02.2025 13:01:45 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DT_TLM_corrige.pdf
04.02.2025 13:01:45 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DT_TLM_donnee.pdf
04.02.2025 13:01:46 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TC_IEL_corrige.pdf
04.02.2025 13:01:46 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TC_IEL_donnee.pdf
04.02.2025 13:01:46 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TC_PELE_corrige.pdf
04.02.2025 13:01:46 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TC_PELE_donnee.pdf
04.02.2025 13:01:47 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TR_TLM_corrige.pdf
04.02.2025 13:01:47 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TR_TLM_donnee.pdf
04.02.2025 13:01:48 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_ELM_corrige.pdf
04.02.2025 13:01:48 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_ELM_donnee.pdf
04.02.2025 13:01:48 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_IEL_corrige.pdf
04.02.2025 13:01:49 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_IEL_donnee.pdf
04.02.2025 13:01:49 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_PELE_corrige.pdf
04.02.2025 13:01:49 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_PELE_donnee.pdf
04.02.2025 13:01:50 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_TLM_corrige.pdf
04.02.2025 13:01:50 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_TLM_donnee.pdf
04.02.2025 13:01:50 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_BT_ELM_corrige.pdf
04.02.2025 13:01:50 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_BT_ELM_donnee.pdf
04.02.2025 13:01:51 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_BT_IELE_corrige.pdf
04.02.2025 13:01:51 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_BT_IELE_donnee.pdf
04.02.2025 13:01:51 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_BT_PELE_corrige.pdf
04.02.2025 13:01:52 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_BT_PELE_donnee.pdf
04.02.2025 13:01:52 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_BT_TLM_corrige.pdf
04.02.2025 13:01:52 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_BT_TLM_donnee.pdf
04.02.2025 13:01:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTno_ELM_corrige.pdf
04.02.2025 13:01:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTno_ELM_donnee.pdf
04.02.2025 13:01:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTno_IEL_corrige.pdf
04.02.2025 13:01:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTno_IEL_donnee.pdf
04.02.2025 13:01:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTpl_ELM_corrige.pdf
04.02.2025 13:01:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTpl_ELM_donnee.pdf
04.02.2025 13:01:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTpl_IEL_corrige.pdf
04.02.2025 13:01:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTpl_IEL_donnee.pdf
04.02.2025 13:01:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTsc_ELM_corrige.pdf
04.02.2025 13:01:55 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DTsc_ELM_donnee.pdf
