04.02.2025 20:41:45 : Début de la constitution de l'index : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\pdf_500_1.pdx
04.02.2025 20:41:45 : Recherche en cours : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\
04.02.2025 20:41:53 : Indexation de 449 fichier(s)
04.02.2025 20:41:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_ELM_corrige.pdf
04.02.2025 20:41:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_ELM_donnee.pdf
04.02.2025 20:41:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_IEL_corrige.pdf
04.02.2025 20:41:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_IEL_donnee.pdf
04.02.2025 20:41:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_PELE_corrige.pdf
04.02.2025 20:41:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_PELE_donnee.pdf
04.02.2025 20:41:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_TLM_corrige.pdf
04.02.2025 20:41:55 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_BT_TLM_donnee.pdf
04.02.2025 20:41:55 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTno_ELM_corrige.pdf
04.02.2025 20:41:55 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTno_ELM_donnee.pdf
04.02.2025 20:41:55 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTno_IEL_corrige.pdf
04.02.2025 20:41:56 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTno_IEL_donnee.pdf
04.02.2025 20:41:56 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTpl_ELM_corrige.pdf
04.02.2025 20:41:56 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTpl_ELM_donnee.pdf
04.02.2025 20:41:56 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTpl_IEL_corrige.pdf
04.02.2025 20:41:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTpl_IEL_donnee.pdf
04.02.2025 20:41:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTsc_ELM_corrige.pdf
04.02.2025 20:41:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTsc_ELM_donnee.pdf
04.02.2025 20:41:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTsc_IEL_corrige.pdf
04.02.2025 20:41:58 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DTsc_IEL_donnee.pdf
04.02.2025 20:41:58 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DT_PELE_corrige.pdf
04.02.2025 20:41:59 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DT_PELE_donnee.pdf
04.02.2025 20:41:59 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DT_TLM_corrige.pdf
04.02.2025 20:42:00 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_DT_TLM_donnee.pdf
04.02.2025 20:42:00 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TC_IEL_corrige.pdf
04.02.2025 20:42:01 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TC_IEL_donnee.pdf
04.02.2025 20:42:01 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TC_PELE_corrige.pdf
04.02.2025 20:42:01 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TC_PELE_donnee.pdf
04.02.2025 20:42:01 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TR_TLM_corrige.pdf
04.02.2025 20:42:02 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TR_TLM_donnee.pdf
04.02.2025 20:42:03 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_ELM_corrige.pdf
04.02.2025 20:42:03 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_ELM_donnee.pdf
04.02.2025 20:42:03 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2011_TS_IEL_corrige.pdf
